Fecha;saldo broker;saldo cripto;saldo cuenta
04/08/2020; 106,30 € ;; 218,00 € 
28/08/2020; 121,93 € ;; 244,52 € 
12/09/2020; 113,95 € ; 131,06 € ; 327,52 € 
04/11/2020; 259,86 € ; 122,23 € ; 270,01 € 
09/12/2020; 308,86 € ;; 560,00 € 
02/01/2021; 434,61 € ;; 704,00 € 
13/02/2021; 705,90 € ; 273,00 € ; 254,50 € 
08/03/2021; 605,00 € ; 323,21 € ; 660,39 € 
02/04/2021; 704,32 € ; 373,07 € ; 462,06 € 
02/05/2021; 711,36 € ; 368,00 € ; 386,75 € 
01/06/2021; 742,80 € ; 388,00 € ; 529,77 € 
01/07/2021; 840,00 € ; 370,00 € ; 1.120,00 € 
16/08/2021; 988,00 € ; 809,00 € ; 350,00 € 
01/09/2021; 1.022,68 € ; 901,00 € ; 675,00 € 
04/10/2021; 960,00 € ; 832,00 € ; 773,03 € 
12/10/2021; 960,00 € ; 927,00 € ; 862,81 € 
;;;
;;;
;;;
;;;
;;;
;;;
